Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 11:41:32.912000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 11:41:36.756000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 11:42:03.185000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 11:42:05.989000
AvatarTalking;Dialog;Persons-q2;2022-03-09 11:42:22.935000
AvatarTalking;Dialog;Persons-q3;2022-03-09 11:42:31.586000
AvatarTalking;Dialog;Persons-q4;2022-03-09 11:42:46.598000
AvatarTalking;Dialog;Animals-q1;2022-03-09 11:43:11.778000
AvatarTalking;Dialog;Animals-q2;2022-03-09 11:43:27.792000
AvatarTalking;Dialog;Animals-q3;2022-03-09 11:43:41.752000
AvatarTalking;Dialog;Animals-q4;2022-03-09 11:43:56.867000
AvatarTalking;Dialog;When-q1;2022-03-09 11:44:08.623000
AvatarTalking;Dialog;When-q2;2022-03-09 11:44:23.140000
AvatarTalking;Dialog;Where-q1n;2022-03-09 11:44:34.600000
AvatarTalking;Dialog;Where-q2;2022-03-09 11:44:49.218000
AvatarTalking;Dialog;Where-q3;2022-03-09 11:44:58.967000
AvatarTalking;Dialog;Second-Photo;2022-03-09 11:45:35.226000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 11:46:00.534000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 11:46:20.308000
AvatarTalking;Dialog;Persons-q2;2022-03-09 11:46:32.802000
AvatarTalking;Dialog;Not_User_Voice;2022-03-09 11:46:48.054000
AvatarTalking;Dialog;Persons-q3;2022-03-09 11:47:03.333000
AvatarTalking;Dialog;Persons-q4;2022-03-09 11:47:16.702000
AvatarTalking;Dialog;When-q1;2022-03-09 11:47:27.893000
AvatarTalking;Dialog;When-q2;2022-03-09 11:47:34.486000
